"scenario","year","temperature_flow","p_retained","spawn_date","id"
"Alt2a","84","L",0.0235715342242681,NA,114
"Alt2a","83","H",0.0348530217517785,NA,115
"Alt2a","83","M",0.0238007127161289,NA,116
"Alt2a","83","L",0.0238007127161289,NA,117
"Alt2a","80","H",0.00463674999124916,NA,118
"Alt2a","80","M",0.00284645495855713,NA,119
"Alt2a","80","L",0.00187135876867548,NA,120
"Alt2a","75","H",0.170915529750266,NA,121
"Alt2a","75","M",0.1393846011966,NA,122
"Alt2a","75","L",0.106699995634054,NA,123
"Alt2a","68","H",0.00326431891596619,NA,124
"Alt2a","68","M",0.00267548409663471,NA,125
"Alt2a","68","L",0.00232640826049268,NA,126
"Alt2a","66","H2",0.0123151277244018,NA,127
"Alt2a","66","M5",0.0103050701779766,NA,128
"Alt2a","66","L8",0.0085558235682642,NA,129
"Alt2b","87","H",0.548956307789273,NA,130
"Alt2b","87","M",0.518301933216452,NA,131
"Alt2b","87","L",0.486578239441289,NA,132
"Alt2b","11","H",0.00544297918045037,NA,133
"Alt2b","11","M",0.00255026344758331,NA,134
"Alt2b","11","L",0.00254961697113054,NA,135
"Alt2b","98","H",0.237361575622999,NA,136
"Alt2b","98","M",0.150742544767276,NA,137
"Alt2b","98","L",0.11263457986478,NA,138
"Alt2b","85","H",0.0065551780855841,NA,139
"Alt2b","85","M",0.00547255984603422,NA,140
"Alt2b","85","L",0.00448920765219364,NA,141
"Alt2b","83","HP",0.0587951747815365,NA,142
"Alt2b","83","M",0.0402220064006891,NA,143
"Alt2b","83","LF",0.0308290732369749,NA,144
"Alt2b","83","H",0.0587951747815365,NA,145
"Alt2b","83","M2",0.0402220064006891,NA,146
"Alt2b","83","L",0.0357976131781101,NA,147
"Alt2b","80","H",0.0212829592104685,NA,148
"Alt2b","80","M",0.0121944439321775,NA,149
"Alt2b","80","L",0.00669881956668107,NA,150
"Alt2b","75","H",0.3487618236225,NA,151
"Alt2b","75","M",0.305488053823308,NA,152
"Alt2b","75","L",0.233813255531801,NA,153
"Alt2b","66","H",0.0286427710039686,NA,154
"Alt2b","66","M",0.0229645712918642,NA,155
"Alt2b","66","L",0.018458322779985,NA,156
"Alt2b","49","H",0.774556597777199,NA,157
"Alt2b","49","M",0.655115486286881,NA,158
"Alt2b","49","L",0.51786923609558,NA,159
"Alt2b","47","H",0.0226284873511928,NA,160
"Alt2b","47","M",0.0171317227273532,NA,161
"Alt2b","47","L",0.00247287945766013,NA,162
"NoAct","11","HP",0.000708903257245447,NA,163
"NoAct","11","H",0.000669506030849591,NA,164
"NoAct","11","M",0.000251583901620356,NA,165
"NoAct","11","L",7.3013827644882e-05,NA,166
"NoAct","11","LF",0.000290320934843,NA,167
"NoAct","75","HP",0.048249774306862,NA,168
"NoAct","75","H",0.0449168248177844,NA,169
"NoAct","75","M",0.0287287605453404,NA,170
"NoAct","75","L",0.0163954984232916,NA,171
"NoAct","75","LF",0.0145973997232894,NA,172
"Alt1","85","LF",0.000802783573071176,1985-06-22,173
"Alt1","85","MF",0.000937393445527709,1985-06-22,174
"Alt1","85","HF",0.00110232008370035,1985-06-22,175
"Alt1","85","L",0.000866909918278992,1985-06-22,176
"Alt1","85","M",0.00101544687862062,1985-06-22,177
"Alt1","85","H",0.00119843104261731,1985-06-22,178
"Alt1","85","LP",0.000866909918278992,1985-06-22,179
"Alt1","85","MP",0.00101544687862062,1985-06-22,180
"Alt1","85","HP",0.00119858293625554,1985-06-22,181
"Alt1a","85","LF",0.000149911228182754,1985-06-12,182
"Alt1a","85","MF",0.000177956733548955,1985-06-12,183
"Alt1a","85","HF",0.000220436575874386,1985-06-12,184
"Alt1a","85","L",0.000167496278471671,1985-06-12,185
"Alt1a","85","M",0.000203912712793968,1985-06-12,186
"Alt1a","85","H",0.000240155740770945,1985-06-12,187
"Alt1a","85","LP",0.000177956733548955,1985-06-12,188
"Alt1a","85","MP",0.000203913207688116,1985-06-12,189
"Alt1a","85","HP",0.000240155740770945,1985-06-12,190
"Alt1b","85","LF",0.655754164556527,1985-06-29,191
"Alt1b","85","MF",0.771454140437133,1985-06-29,192
"Alt1b","85","HF",0.771454140437133,1985-06-29,193
"Alt1b","85","L",0.654921084587465,1985-06-29,194
"Alt1b","85","M",0.770818955873766,1985-06-29,195
"Alt1b","85","H",0.770808086057667,1985-06-29,196
"Alt1b","85","LP",0.655754164556527,1985-06-29,197
"Alt1b","85","MP",0.655754164556527,1985-06-29,198
"Alt1b","85","HP",0.771454140437133,1985-06-29,199
"Alt2","85","LF",0.000520576489175513,1985-06-18,200
"Alt2","85","MF",0.000620614585449316,1985-06-18,201
"Alt2","85","HF",0.000815186324512948,1985-06-18,202
"Alt2","85","L",0.000568187545985165,1985-06-18,203
"Alt2","85","M",0.000743001789103986,1985-06-18,204
"Alt2","85","H",0.000895735728846971,1985-06-18,205
"Alt2","85","LP",0.000568187545985165,1985-06-18,206
"Alt2","85","MP",0.000815186324512948,1985-06-18,207
"Alt2","85","HP",0.000985588536387302,1985-06-18,208
"Alt2a","85","LF",0.00114803077787983,1985-06-12,209
