"Spawn.Date","X..Retained..Temp...","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7"
NA,"Low Full","Med Full","High Full","Low","Median","High","Low Peak","Med Peak","High Peak"
1985-06-26,"0.0043778819033443","0.00493885287974739","0.00642443072689888","0.00493885287974739","0.00560792512549741","0.00746382874912798","0.00493885287974739","0.00642443072689888","0.00746382874912798"
