"Spawn.Date","X..Retained..Temp...","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7"
NA,"Low Full","Med Full","High Full","Low","Median","High","Low Peak","Med Peak","High Peak"
1985-06-18,"0.000520576489175513","0.000620614585449316","0.000815186324512948","0.000568187545985165","0.000743001789103986","0.000895735728846971","0.000568187545985165","0.000815186324512948","0.000985588536387302"
