"Drift.Time..days.","Alt2b_87_H","Column1","Column2","Alt2b_87_M","Column3","Column4","Alt2b_87_L","Column5","Column6","Alt2b_11_H","Column7","Column8","Alt2b_11_M","Column9","Column10","Alt2b_11_L","Column11","Column12","Alt2b_98_H","Column13","Column14","Alt2b_98_M","Column15","Column16","Alt2b_98_L","Column17","Column18","Alt2b_85_H","Column19","Column20","Alt2b_85_M","Column21","Column22","Alt2b_85_L","Column23","Column24","Alt2b_83_HP","Column25","Column26","Alt2b_84_M","Column27","Column28","Alt2b_83_LF","Column29","Column30","Alt2b_83_H","Column31","Column32","Alt2b_83_M","Column33","Column34","Alt2b_83_L","Column35","Column36","Alt2b_80_H","Column37","Column38","Alt2b_80_M","Column39","Column40","Alt2b_80_L","Column41","Column42","Alt2b_75_H","Column43","Column44","Alt2b_75_M","Column45","Column46","Alt2b_75_L","Column47","Column48","Alt2b_68_H","Column49","Column50","Alt2b_68_M","Column51","Column52","Alt2b_68_L","Column53","Column54"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
0.25,"2.08019787572619","2.08019787572619","1","1.94707829356894","1.94707829356894","1","1.79964005281208","1.79964005281208","1","2.65383032740147","2.65383032740147","1","2.47846461518685","2.47846461518685","1","2.47847376165589","2.47847376165589","1","2.13873755185534","2.13873755185534","1","2.0040230547679","2.0040230547679","1","2.00403642826811","2.00403642826811","1","2.18573967663403","2.18573967663403","1","2.04072746621296","2.04072746621296","1","1.87183805146506","1.87183805146506","1","1.92004547635991","1.92004547635991","1","1.58414466772272","1.58414466772272","1","1.6857032253566","1.6857032253566","1","1.92012169024758","1.92012169024758","1","1.80300683839593","1.80300683839593","1","1.80293010018299","1.80293010018299","1","2.34872476472951","2.34872476472951","1","2.21167955853146","2.21167955853146","1","2.05371243390995","2.05371243390995","1","2.66405119448833","2.66405119448833","1","2.50562622159481","2.50562622159481","1","2.30414533749271","2.30414533749271","1","1.93795833004392","1.93795833004392","1","1.87183805146506","1.87183805146506","1","1.42294415210661","1.42294415210661","1"
0.375,"2.19937020373369","4.27956807945989","1","2.06895186802834","4.01603016159727","1","1.92441092653634","3.72405097934842","1","2.72879851374351","5.38262884114498","1","2.55577338764713","5.03423800283398","1","2.55577575892019","5.03424952057608","1","2.29247859174718","4.43121614360252","1","2.16088258390166","4.16490563866956","1","2.16089886658317","4.16493529485128","1","2.26198780956115","4.44772748619518","1","2.12132481314056","4.16205227935353","1","1.95736754906978","3.82920560053484","1","2.06009116185482","3.98013663821473","1","1.67397311431521","3.25811778203793","1","1.82977965614828","3.51548288150487","1","2.06017557535997","3.98029726560755","1","1.94509824437977","3.7481050827757","1","1.94501397709842","3.74794407728141","1","2.50830207708316","4.85702684181267","1","2.37724306642803","4.58892262495949","1","2.22599365002883","4.27970608393878","1","2.75563011262226","5.4196813071106","1","2.60028336510165","5.10590958669646","1","2.40253063613206","4.70667597362477","1","2.06672072313273","4.00467905317665","1","1.95736754906978","3.82920560053484","1","1.48076929668454","2.90371344879115","1"
0.5,"2.29686998281747","6.57643806227736","1","2.16977027821036","6.18580043980763","1","2.02884894093959","5.75289992028801","1","2.77719852447733","8.15982736562231","1","2.60610493779572","7.6403429406297","1","2.60611067137653","7.64036019195261","1","2.42464506297088","6.85586120657341","1","2.29743641835122","6.46234205702078","1","2.29741849328975","6.46235378814102","1","2.34456577445621","6.79229326065139","1","2.20800949991738","6.37006177927091","1","2.04869760695884","5.87790320749368","1","2.20053315382259","6.18066979203733","1","1.80571144897917","5.0638292310171","1","1.97479504384411","5.49027792534898","1","2.20061229054474","6.18090955615229","1","2.08786566792356","5.83597075069926","1","2.08778650739175","5.83573058467316","1","2.66811256592835","7.52513940774103","1","2.54353870272495","7.13246132768443","1","2.39957096170909","6.67927704564787","1","2.83485479455417","8.25453610166477","1","2.68268187181148","7.78859145850794","1","2.48877611995802","7.1954520935828","1","2.15025175607309","6.15493080924973","1","2.04869760695884","5.87790320749368","1","1.59933074518098","4.50304419397213","1"
0.625,"2.33093484748032","8.90737290975768","1","2.20594089061799","8.39174133042562","1","2.06729477317909","7.8201946934671","1","2.79410242080529","10.9539297864276","1","2.62479858314436","10.2651415237741","1","2.62479371476743","10.26515390672","1","2.51542555995296","9.37128676652636","1","2.39254398746112","8.8548860444819","1","2.39250423457633","8.85485802271735","1","2.3851007892823","9.17739404993369","1","2.2515444191983","8.6216061984692","1","2.09562650440057","7.97352971189425","1","2.27832385249044","8.45899364452777","1","1.92411576220305","6.98794499322015","1","2.05923291457536","7.54951083992434","1","2.27840720615204","8.45931676230433","1","2.16901974864802","8.00499049934727","1","2.16893685600169","8.00466744067486","1","2.74260152503095","10.267740932772","1","2.62274584997472","9.75520717765916","1","2.48403894180234","9.1633159874502","1","2.86848473234791","11.1230208340127","1","2.71834864234624","10.5069401008542","1","2.52693894413809","9.72239103772089","1","2.17857056706869","8.33350137631843","1","2.09562650440057","7.97352971189425","1","1.70581331707446","6.20885751104659","1"
0.75,"2.33272141192204","11.2400943216797","1","2.20967647843916","10.6014178088648","1","2.07309870673791","9.89329340020501","1","2.79709018676924","13.7510199731968","1","2.6298518925938","12.8949934163679","1","2.62985178846535","12.8950056951854","1","2.59061520114854","11.9619019676749","1","2.47180619410266","11.3266922385846","1","2.47174979285915","11.3266078155765","1","2.38409017704636","11.56148422698","1","2.25274081097562","10.8743470094448","1","2.0993144925462","10.0728442044405","1","2.30086667839531","10.7598603229231","1","2.02197432692005","9.0099193201402","1","2.08729393900311","9.63680477892744","1","2.30094116602633","10.7602579283307","1","2.19434109868605","10.1993315980333","1","2.19426639559671","10.1989338362716","1","2.78204531334523","13.0497862461172","1","2.66566241103958","12.4208695886987","1","2.53084083706583","11.694156824516","1","2.86495813869937","13.9879789727121","1","2.71706274218516","13.2240028430393","1","2.52841159371183","12.2508026314327","1","2.19353950001164","10.5270408763301","1","2.0993144925462","10.0728442044405","1","1.79639912382669","8.00525663487328","1"
0.875,"2.33174055769286","13.5718348793726","1","2.21076246120029","12.8121802700651","1","2.07645227402764","11.9697456742327","1","2.80482748905193","16.5558474622488","1","2.6397404703336","15.5347338867015","1","2.63974348034122","15.5347491755266","1","2.6617633199318","14.6236652876067","1","2.54728076409347","13.873973002678","1","2.54720405336483","13.8738118689413","1","2.38843779399052","13.9499220209706","1","2.25932939997045","13.1336764094153","1","2.10847699574989","12.1813212001903","1","2.32075371045338","13.0806140333765","1","2.06496843117331","11.0748877513135","1","2.11168603469468","11.7484908136221","1","2.32082438280115","13.0810823111318","1","2.21649481045913","12.4158264084925","1","2.21642430253422","12.4153581388058","1","2.83378274182239","15.8835689879396","1","2.72046514006026","15.141334728759","1","2.58911432577123","14.2832711502873","1","2.8647628993954","16.8527418721075","1","2.71971606427163","15.943718907311","1","2.53457445214021","14.7853770835729","1","2.21651052165806","12.7435513979881","1","2.10847699574989","12.1813212001903","1","1.82962456517407","9.83488120004735","1"
1,"2.34799746158849","15.9198323409611","1","2.22948965556348","15.0416699256285","1","2.09795682216156","14.0677024963942","1","2.8213272924378","19.3771747546866","1","2.65849572773742","18.1932296144389","1","2.65849203007802","18.1932412056046","1","2.78786451305463","17.4115298006613","1","2.6793567084157","16.5533297110937","1","2.67926074069863","16.55307260964","1","2.39608379871617","16.3460058196867","1","2.26894323113824","15.4026196405535","1","2.12036796826283","14.3016891684532","1","2.36238533075423","15.4429993641307","1","2.04880350494161","13.1236912562551","1","2.15864163999827","13.9071324536204","1","2.36246251404951","15.4435448251813","1","2.26082008395254","14.676646492445","1","2.26074316690741","14.6761013057132","1","2.87710162606673","18.7606706140063","1","2.76651377261698","17.907848501376","1","2.63827420299042","16.9215453532777","1","2.8673256427183","19.7200675148258","1","2.72516177487336","18.6688806821843","1","2.54357595576132","17.3289530393342","1","2.25841564198529","15.0019670399734","1","2.12036796826283","14.3016891684532","1","1.82102173632048","11.6559029363678","1"
1.125,"2.45043098393883","18.3702633248999","1","2.33418168705396","17.3758516126825","1","2.20515564169114","16.2728581380854","1","2.86729402886386","22.2444687835504","1","2.70699981818766","20.9002294326265","1","2.70698787019086","20.9002290757955","1","2.9555458914066","20.3670756920679","1","2.85433435938364","19.4076640704774","1","2.85422288155779","19.4072954911978","1","2.47403639321392","18.8200422129007","1","2.34870014163656","17.7513197821901","1","2.20220043770482","16.503889606158","1","2.46457939436418","17.9075787584949","1","2.02636888656849","15.1500601428236","1","2.26833657325966","16.1754690268801","1","2.46464967692243","17.9081945021038","1","2.36679192424681","17.0434384166918","1","2.36672179487441","17.0428231005876","1","2.96603887069289","21.7267094846992","1","2.85978361920355","20.7676321205795","1","2.7364498214039","19.6579951746816","1","2.91432880262711","22.6343963174529","1","2.77514282384867","21.444023506033","1","2.59723592831491","19.9261889676491","1","2.34344756519592","17.3454146051693","1","2.20220043770482","16.503889606158","1","1.80342430108787","13.4593272374557","1"
1.25,"2.55401821348122","20.9242815383811","1","2.44028055935525","19.8161321720378","1","2.3140426317989","18.5869007698843","1","2.95625213695162","25.2007209205021","1","2.79896064377489","23.6991900764014","1","2.79895524943197","23.6991843252275","1","3.13144787763182","23.4985235696997","1","3.03746635994369","22.4451304304211","1","3.03734332316165","22.4446388143594","1","2.58189284786724","21.4019350607679","1","2.45886296148833","20.2101827436784","1","2.3150495079592","18.8189391141172","1","2.57888582820626","20.4864645867011","1","2.01183088704276","17.1618910298664","1","2.39055324223923","18.5660222691193","1","2.57895462330477","20.4871491254085","1","2.48506915048186","19.5285075671737","1","2.48500052363481","19.5278236242224","1","3.04220065628304","24.7689101409823","1","2.94088150261214","23.7085136231917","1","2.82314237015983","22.4811375448414","1","2.99067147853547","25.6250677959883","1","2.85440159787355","24.2984251039066","1","2.6800993072356","22.6062882748847","1","2.45493346664809","19.8003480718174","1","2.3150495079592","18.8189391141172","1","1.80036568725406","15.2596929247098","1"
