"Spawn.Date","X..Retained..Temp...","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7"
NA,"Low Full","Med Full","High Full","Low","Median","High","Low Peak","Med Peak","High Peak"
1985-06-29,"0.655754164556527","0.771454140437133","0.771454140437133","0.654921084587465","0.770818955873766","0.770808086057667","0.655754164556527","0.655754164556527","0.771454140437133"
