"scenario","p_retained","id"
"Alt2b_75_M",0.311600789285529,131
"Alt2b_75_L",0.239236110407743,132
"Alt2b_68_H",0.018458322779985,133
"Alt2b_68_M",0.00448920765219364,134
"Alt2b_68_L",0.000409766096756743,135
"Alt2a_11_M",0.000708903257245447,136
"Alt2a_11_M",0.000669506030849591,137
"Alt2a_11_M",0.000251583901620356,138
"Alt2a_11_M",7.3013827644882e-05,139
"Alt2a_11_M",0.000290320934843,140
"Alt2a_11_M",0.048249774306862,141
"Alt2a_11_M",0.0449168248177844,142
"Alt2a_11_M",0.0287287605453404,143
"Alt2a_11_M",0.0163954984232916,144
"Alt2a_11_M",0.0145973997232894,145
