"Drift.Time..days.","Alt1b_11_H","Column7","Column8","Alt1b_11_M","Column9","Column10","Alt1b_11_L","Column11","Column12","Alt1b_98_H","Column13","Column14","Alt1b_98_M","Column15","Column16","Alt1b_98_L","Column17","Column18","Alt1b_85_H","Column31","Column32","Alt1b_85_M","Column33","Column34","Alt1b_85_L","Column35","Column36","Alt1b_83_H","Column43","Column44","Alt1b_83_M","Column45","Column46","Alt1b_83_L","Column47","Column48","Alt1b_80_H","Column49","Column50","Alt1b_80_M","Column51","Column52","Alt1b_80_L","Column53","Column54","Alt1b_75_H","Column55","Column56","Alt1b_75_M","Column57","Column58","Alt1b_75_L","Column59","Column60","Alt1b_66_H","Column67","Column68","Alt1b_66_M","Column69","Column70","Alt1b_66_L","Column71","Column72","NA."
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained",NA
"0.125","2.57106999286145","2.57106999286145","1","2.38441012746122","2.38441012746122","1","2.15197652811881","2.15197652811881","1","2.2991131877774","2.2991131877774","1","1.91946305941874","1.91946305941874","1","1.91768262996194","1.91768262996194","1","1.63418737880009","1.63418737880009","1","1.52228209040334","1.52228209040334","1","1.39881644318348","1.39881644318348","1","1.6022728082415","1.6022728082415","1","1.48677673190186","1.48677673190186","1","1.39957126963856","1.39957126963856","1","1.84206745419977","1.84206745419977","1","1.70733843614206","1.70733843614206","1","1.55691119296427","1.55691119296427","1","2.49342814629808","2.49342814629808","1","2.33090776893351","2.33090776893351","1","1.51803046503621","1.51803046503621","1","1.82901920191839","1.82901920191839","1","1.46921543425487","1.46921543425487","1","1.34656601977274","1.34656601977274","1",0.125
"0.25","2.60828400574718","5.17935399860863","1","2.42407377629417","4.80848390375539","1","2.19461659870528","4.34659312682408","1","2.30881093808269","4.60792412586008","1","1.93988376729908","3.85934682671782","1","1.93814870640975","3.85583133637169","1","1.75637539313943","3.39056277193952","1","1.64581940268276","3.1681014930861","1","1.52379104960137","2.92260749278485","1","1.62888173903358","3.23115454727508","1","1.51588714794894","3.0026638798508","1","1.42105455287523","2.82062582251379","1","1.8463249737057","3.68839242790547","1","1.71500251286762","3.42234094900968","1","1.56832751642691","3.12523870939118","1","2.54917205416931","5.04260020046738","1","2.38902739558476","4.71993516451827","1","1.58703784708538","3.10506831212159","1","1.88770674517105","3.71672594708944","1","1.53483920878132","3.00405464303619","1","1.41443140352835","2.76099742330109","1",0.25
"0.375","2.66749274918152","7.84684674779015","1","2.48559186120154","7.29407576495693","1","2.25898430823745","6.60557743506153","1","2.34268950907858","6.95061363493866","1","1.98604867064343","5.84539549736125","1","1.98436810729237","5.84019944366406","1","1.96801949186274","5.35858226380225","1","1.85918957904353","5.02729107212963","1","1.73904144114056","4.6616489339254","1","1.76783272945674","4.99898727673182","1","1.65738518159214","4.66004906144293","1","1.48822205974344","4.30884788225723","1","1.84181373766363","5.5302061655691","1","1.71453382015862","5.1368747691683","1","1.57230683499668","4.69754554438786","1","2.62645457682888","7.66905477729626","1","2.46845776916858","7.18839293368684","1","1.67612554591814","4.78119385803973","1","1.99779466717698","5.71452061426642","1","1.65501099176471","4.6590656348009","1","1.53773113018807","4.29872855348916","1",0.375
"0.5","2.73707799423645","10.5839247420266","1","2.55769072180298","9.85176648675992","1","2.33407030722673","8.93964774228825","1","2.42854510628075","9.37915874121941","1","2.08409011020199","7.92948560756324","1","2.08246455590793","7.92266399957199","1","2.22942918313978","7.58801144694204","1","2.12255850945922","7.14984958158885","1","2.00434406973556","6.66599300366097","1","1.85853587809355","6.85752315482537","1","1.75057133068391","6.41062039212685","1","1.53554980088858","5.84439768314581","1","1.84011886176323","7.37032502733234","1","1.71706614317354","6.85394091234184","1","1.57945499155869","6.27700053594655","1","2.69877433248761","10.3678291097839","1","2.54342732953677","9.73182026322361","1","1.76295125075859","6.54414510879832","1","2.10339402656558","7.817914640832","1","1.77016781730761","6.42923345210851","1","1.65549602413065","5.95422457761981","1",0.5
"0.625","2.80331232735446","13.3872370693811","1","2.62682009411771","12.4785865808776","1","2.40661602180891","11.3462637640972","1","2.47707354432606","11.8562322855455","1","2.14135151589517","10.0708371234584","1","2.13976682452179","10.0624308240938","1","2.42614889734267","10.0141603442847","1","2.32079566695411","9.47064524854297","1","2.20402747572374","8.87002047938471","1","2.05039184976982","8.90791500459519","1","1.9445498592758","8.35517025140265","1","1.61032817939035","7.45472586253616","1","1.91152543350403","9.28185046083637","1","1.79189389696997","8.64583480931181","1","1.65805289081538","7.93505342676193","1","2.76193987301969","13.1297689828036","1","2.60913343827813","12.3409537015017","1","1.83999992625663","8.38414503505495","1","2.16324690703909","9.98116154787109","1","1.83823204995872","8.26746550206723","1","1.72524265582311","7.67946723344291","1",0.625
"0.75","2.83877765465235","16.2260147240334","1","2.66496949659841","15.143556077476","1","2.44799029200545","13.7942540561026","1","2.46422375520166","14.3204560407471","1","2.13419440899098","12.2050315324494","1","2.13263626603103","12.1950670901248","1","2.49297552627833","12.507135870563","1","2.38958456629473","11.8602298148377","1","2.27488595989809","11.1449064392828","1","2.07790236375352","10.9858173683487","1","1.97373287213034","10.328903123533","1","1.63258846053714","9.0873143230733","1","1.91772169240476","11.1995721532411","1","1.80132112858989","10.4471559379017","1","1.67103521214806","9.60608863890999","1","2.77917971586492","15.9089486986685","1","2.6283654302469","14.9693191317486","1","1.86824836930058","10.2523934043555","1","2.17538335119793","12.156544899069","1","1.85552219193522","10.1229876940025","1","1.7438434435135","9.42331067695641","1",0.75
"0.875","2.85421912723013","19.0802338512635","1","2.68323191077444","17.8267879882505","1","2.46962587721278","16.2638799333154","1","2.44300680537022","16.7634628461173","1","2.11845973690511","14.3234912693545","1","2.11692757630744","14.3119946664322","1","2.45691516176666","14.9640510323297","1","2.35601985665663","14.2162496714943","1","2.24404073300858","13.3889471722914","1","2.07416047951386","13.0599778478626","1","1.97129845653289","12.3002015800659","1","1.63697874016555","10.7242930632388","1","1.90340803071052","13.1029801839516","1","1.79029836047204","12.2374542983737","1","1.66366414514242","11.2697527840524","1","2.763726020272","18.6726747189405","1","2.61497246447822","17.5842915962269","1","1.86427674165596","12.1166701460115","1","2.16354352926835","14.3200884283374","1","1.84798388029074","11.9709715742932","1","1.7379129551494","11.1612236321058","1",0.875
"1","2.8696660817917","21.9498999330552","1","2.70142827558028","20.5282162638308","1","2.49111512863545","18.7549950619509","1","2.41600311815684","19.1794659642742","1","2.09683338040848","16.420324649763","1","2.09532707092067","16.4073217373529","1","2.4197642838565","17.3838153161862","1","2.32078965067711","16.5370393221714","1","2.21084942681966","15.599796599111","1","2.06114469686171","15.1211225447243","1","1.95980195294719","14.2600035330131","1","1.63439052578473","12.3586835890236","1","1.88108824613389","14.9840684300855","1","1.77161007405139","14.0090643724251","1","1.64898875730575","12.9187415413582","1","2.74338008240267","21.4160548013432","1","2.5966700868462","20.1809616830731","1","1.8554202338704","13.9720903798819","1","2.14558566556611","16.4656740939035","1","1.83587275498704","13.8068443292802","1","1.7276242081521","12.8888478402579","1",1
"1.125","2.88338408917347","24.8332840222287","1","2.71764931674618","23.2458655805769","1","2.51035769435728","21.2653527563081","1","2.39495543036202","21.5744213946362","1","2.08128191368157","18.5016065634445","1","2.07980154815506","18.487123285508","1","2.40829184288016","19.7921071590664","1","2.31126271550422","18.8483020376757","1","2.20341185607056","17.8032084551816","1","2.05258810262937","17.1737106473537","1","1.95280098474878","16.2128045177619","1","1.63566615333653","13.9943497423601","1","1.86116976415731","16.8452381942428","1","1.75525732973724","15.7643217021624","1","1.6365617088254","14.5553032501836","1","2.72401687261309","24.1400716739562","1","2.57966036224472","22.7606220453178","1","1.84937490141173","15.8214652812936","1","2.1336249370781","18.5992990309816","1","1.83026989788713","15.6371142271674","1","1.72399749900022","14.6128453392581","1",1.125
