"Spawn.Date","X..Retained..Temp...","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7"
NA,"Low Full","Med Full","High Full","Low","Median","High","Low Peak","Med Peak","High Peak"
1985-06-22,"0.000802783573071176","0.000937393445527709","0.00110232008370035","0.000866909918278992","0.00101544687862062","0.00119843104261731","0.000866909918278992","0.00101544687862062","0.00119858293625554"
