"scenario","year","temperature_flow","p_retained","spawn_date","id"
"Alt2","85","HP",0.000985588536387302,1985-06-18,181
"Alt2a","85","LF",0.00114803077787983,1985-06-12,182
"Alt2a","85","MF",0.00143265228285185,1985-06-12,183
"Alt2a","85","HF",0.00179331087547677,1985-06-12,184
"Alt2a","85","L",0.00128223448994835,1985-06-12,185
"Alt2a","85","M",0.00179331087547677,1985-06-12,186
"Alt2a","85","H",0.00201126400830244,1985-06-12,187
"Alt2a","85","LP",0.00128223448994835,1985-06-12,188
"Alt2a","85","MP",0.00160185785029648,1985-06-12,189
"Alt2a","85","HP",0.00201126400830244,1985-06-12,190
"Alt2b","85","LF",0.0043778819033443,1985-06-26,191
"Alt2b","85","MF",0.00493885287974739,1985-06-26,192
"Alt2b","85","HF",0.00642443072689888,1985-06-26,193
"Alt2b","85","L",0.00493885287974739,1985-06-26,194
"Alt2b","85","M",0.00560792512549741,1985-06-26,195
"Alt2b","85","H",0.00746382874912798,1985-06-26,196
"Alt2b","85","LP",0.00493885287974739,1985-06-26,197
"Alt2b","85","MP",0.00642443072689888,1985-06-26,198
"Alt2b","85","HP",0.00746382874912798,1985-06-26,199
