"Spawn.Date","X..Retained..Temp...","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7"
NA,"Low Full","Med Full","High Full","Low","Median","High","Low Peak","Med Peak","High Peak"
1985-06-12,"0.000149911228182754","0.000177956733548955","0.000220436575874386","0.000167496278471671","0.000203912712793968","0.000240155740770945","0.000177956733548955","0.000203913207688116","0.000240155740770945"
