"Drift.Time..days.","Alt1_12_H","NA.","NA..1","Alt1_12_M","NA..2","NA..3","Alt1_12_L","NA..4","NA..5","Alt1_11_H","NA..6","NA..7","Alt1_11_M","NA..8","NA..9","Alt1_11_L","NA..10","NA..11","Alt1_98_H","NA..12","NA..13","Alt1_98_M","NA..14","NA..15","Alt1_98_L","NA..16","NA..17","Alt1_85_H","NA..18","NA..19","Alt1_85_M","NA..20","NA..21","Alt1_85_L","NA..22","NA..23","Alt1_84_H","NA..24","NA..25","Alt1_84_M","NA..26","NA..27","Alt1_84_L","NA..28","NA..29","Alt1_83_H","NA..30","NA..31","Alt1_83_M","NA..32","NA..33","Alt1_83_L","NA..34","NA..35","Alt1_80_H","NA..36","NA..37","Alt1_80_M","NA..38","NA..39","Alt1_80_L","NA..40","NA..41","Alt1_75_H","NA..42","NA..43","Alt1_75_M","NA..44","NA..45","Alt1_75_L","NA..46","NA..47","Alt1_68_H","NA..48","NA..49","Alt1_68_M","NA..50","NA..51","Alt1_68_L","NA..52","NA..53"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
0.25,"1.81934863759453","1.81934863759453","1","1.69070642118592","1.69070642118592","1","1.5626593760192","1.5626593760192","1","2.51069009203199","2.51069009203199","1","2.31975472930713","2.31975472930713","1","2.08255677640348","2.08255677640348","1","1.74955917700838","1.74955917700838","1","1.61244868767757","1.61244868767757","1","1.458014799322","1.458014799322","1","1.97239888491337","1.97239888491337","1","1.81348815288068","1.81348815288068","1","1.62213312728702","1.62213312728702","1","1.7258437986776","1.7258437986776","1","1.58414466772272","1.58414466772272","1","1.42569785034931","1.42569785034931","1","1.83493983268167","1.83493983268167","1","1.69172785541743","1.69172785541743","1","1.52649127608889","1.52649127608889","1","2.00188795549178","2.00188795549178","1","1.91600565677378","1.91600565677378","1","1.64862969444825","1.64862969444825","1","2.58575282116589","2.58575282116589","1","2.4214051145318","2.4214051145318","1","2.21382992407128","2.21382992407128","1","1.72273653239507","1.72273653239507","1","1.58116819213379","1.58116819213379","1","1.42294415210661","1.42294415210661","1"
0.375,"1.90461330914457","3.7239619467391","1","1.77847845662029","3.46918487780622","1","1.65290243952793","3.21556181554712","1","2.52008745727397","5.03077754930596","1","2.33290883530645","4.65266356461358","1","2.10028461353983","4.18284138994331","1","1.75561306730756","3.50517224431594","1","1.62119271276081","3.23364140043838","1","1.46969427408773","2.92770907340973","1","2.06259172421313","4.03499060912651","1","1.90563277881817","3.71912093169885","1","1.71657832827385","3.33871145556087","1","1.81261008649079","3.53845388516839","1","1.67397311431521","3.25811778203793","1","1.51885385199934","2.94455170234864","1","1.92309374088191","3.75803357356358","1","1.78209233873636","3.47382019415379","1","1.61945949232814","3.14595076841702","1","2.09892906583876","4.10081702133053","1","2.01396810984862","3.9299737666224","1","1.75030072555589","3.39893042000414","1","2.66234177622477","5.24809459739066","1","2.50117659458057","4.92258170911236","1","2.29750159039243","4.5113315144637","1","1.77657991102417","3.49931644341924","1","1.63692174235797","3.21808993449177","1","1.48076929668454","2.90371344879115","1"
0.5,"2.04211670963722","5.76607865637631","1","1.91879154223198","5.3879764200382","1","1.79601368430662","5.01157549985375","1","2.5590136950532","7.58979124435915","1","2.37540849253711","7.02807205715069","1","2.1471583478554","6.32999973779871","1","1.78398702307703","5.28915926739297","1","1.65252962882493","4.88617102926331","1","1.50427682351804","4.43198589692777","1","2.15080929163219","6.1857999007587","1","1.99710899802478","5.71622992972364","1","1.81177143029142","5.15048288585229","1","1.94081865812634","5.47927254329473","1","1.80571144897917","5.0638292310171","1","1.65449821934524","4.59904992169388","1","2.03375532687847","5.79178890044204","1","1.89582778648446","5.36964798063825","1","1.73677587696835","4.88272664538537","1","2.22971916535007","6.33053618668061","1","2.14613959967928","6.07611336630168","1","1.8871956775197","5.28612609752384","1","2.74254756716355","7.99064216455421","1","2.58490441534501","7.50748612445737","1","2.38547200664539","6.89680352110909","1","1.89053905217253","5.38985549559177","1","1.75308271538788","4.97117264987964","1","1.59933074518098","4.50304419397213","1"
0.625,"2.17675079807964","7.94282945445595","1","2.0561257921138","7.444102212152","1","1.93591342126172","6.94748892111546","1","2.6324765050698","10.222267749429","1","2.45146016062711","9.4795322177778","1","2.2263531091812","8.55635284697991","1","1.83440823471904","7.12356750211201","1","1.70555865441119","6.5917296836745","1","1.56014294761857","5.99212884454633","1","2.2286669511377","8.4144668518964","1","2.07894037663008","7.79517030635372","1","1.8981764393749","7.04865932522719","1","2.05593353400209","7.53520607729682","1","1.92411576220305","6.98794499322015","1","1.77649445031465","6.37554437200853","1","2.1389981420459","7.93078704248795","1","2.00431086585838","7.37395884649663","1","1.84880207338542","6.73152871877079","1","2.35461704447997","8.68515323116057","1","2.27254103719134","8.34865440349302","1","2.01786607602192","7.30399217354576","1","2.80822619238121","10.7988683569354","1","2.65399703730882","10.1614831617662","1","2.45868022227718","9.35548374338628","1","1.99317149603864","7.38302699163041","1","1.85750901052597","6.82868166040561","1","1.70581331707446","6.20885751104659","1"
0.75,"2.25492130433718","10.1977507587931","1","2.13647358493796","9.58057579708996","1","2.01838595940497","8.96587488052043","1","2.69547167141741","12.9177394208464","1","2.5170141840312","11.996546401809","1","2.29498312505872","10.8513359720386","1","1.89163004250569","9.0151975446177","1","1.76446591604639","8.35619559972088","1","1.6208737686673","7.61300261321363","1","2.30669440090779","10.7211612528042","1","2.16092368264615","9.95609398899988","1","1.98477637244749","9.03343569767469","1","2.15141039203425","9.68661646933107","1","2.02197432692005","9.0099193201402","1","1.87685869003695","8.25240306204548","1","2.22106481188779","10.1518518543757","1","2.08866921747333","9.46262806396996","1","1.93571357464057","8.66724229341136","1","2.44145852568857","11.1266117568491","1","2.3606945349918","10.7093489384848","1","2.10908349962883","9.4130756731746","1","2.84937749307694","13.6482458500124","1","2.69839562963998","12.8598787914062","1","2.50700257398841","11.8624863173747","1","2.08004257677319","9.4630695684036","1","1.94618501006268","8.77486667046829","1","1.79639912382669","8.00525663487328","1"
0.875,"2.27896751207169","12.4767182708648","1","2.16195877436943","11.7425345714594","1","2.04528386465001","11.0111587451704","1","2.71350701886671","15.6312464397131","1","2.53701658592098","14.53356298773","1","2.31734542614729","13.1686813981859","1","1.89309277634033","10.908290320958","1","1.76723146785009","10.123427067571","1","1.62505031584602","9.23805292905965","1","2.34039711492048","13.0615583677247","1","2.19812921125466","12.1542232002545","1","2.02608041877323","11.0595161164479","1","2.19281980701082","11.8794362763419","1","2.06496843117331","11.0748877513135","1","1.92158224358024","10.1739853056257","1","2.24883186455462","12.4006837189304","1","2.11826506140778","11.5808931253777","1","1.96740912753539","10.6346514209468","1","2.45301814408847","13.5796299009376","1","2.37321790305349","13.0825668415383","1","2.12495927674736","11.538034949922","1","2.86021253236959","16.508458382382","1","2.71209679540475","15.5719755868109","1","2.52419729847454","14.3866836158492","1","2.10951857899981","11.5725881474034","1","1.97747431496007","10.7523409854284","1","1.82962456517407","9.83488120004735","1"
1,"2.28336760846827","14.7600858793331","1","2.16760437623555","13.9101389476949","1","2.05216473865757","13.063323483828","1","2.71431773946146","18.3455641791745","1","2.53994517560362","17.0735081633336","1","2.32282131443836","15.4915027126243","1","1.88148102346268","12.7897713444207","1","1.75689096576841","11.8803180333394","1","1.6161175064009","10.8541704354606","1","2.31764671381997","15.3792050815446","1","2.17799195486349","14.332215155118","1","2.00901837684997","13.0685344932979","1","2.17459061572612","14.054026892068","1","2.04880350494161","13.1236912562551","1","1.90767380118973","12.0816591068154","1","2.2296829233808","14.6303666423112","1","2.10132030131726","13.682213426695","1","1.95304299381255","12.5876944147593","1","2.44294072457802","16.0225706255156","1","2.3643679088544","15.4469347503927","1","2.12163720853989","13.6596721584618","1","2.85645144268196","19.3649098250639","1","2.71065932885389","18.2826349156648","1","2.52560263894805","16.9122862547973","1","2.09633613434288","13.6689242817463","1","1.96648352473527","12.7188245101636","1","1.82102173632048","11.6559029363678","1"
1.125,"2.28938076671754","17.0494666460506","1","2.17513199401953","16.0852709417145","1","2.06118473866549","15.1245082224935","1","2.72289431264241","21.0684584918169","1","2.5511998827397","19.6247080460733","1","2.33728843494341","17.8287911475677","1","1.86152731955515","14.6512986639759","1","1.73873488195027","13.6190529152896","1","1.5999328400495","12.4541032755101","1","2.29367859221589","17.6728836737605","1","2.15580678995775","16.4880219450758","1","1.98894255327492","15.0574770465728","1","2.14986334538664","16.2038902374547","1","2.02636888656849","15.1500601428236","1","1.88774813764963","13.9694072444651","1","2.20287758694376","16.8332442292549","1","2.07725049879206","15.7594639254871","1","1.93212342483335","14.5198178395927","1","2.42473439058454","18.4473050161002","1","2.34761358132914","17.7945483317218","1","2.11030671196945","15.7699788704313","1","2.85420917416317","22.2191189992271","1","2.71070310154212","20.9933380172069","1","2.52844911537547","19.4407353701727","1","2.07304067856466","15.741964960311","1","1.94591122092061","14.6647357310842","1","1.80342430108787","13.4593272374557","1"
1.25,"2.30731131668854","19.3567779627392","1","2.19454438997555","18.27981533169","1","2.08205105413214","17.2065592766256","1","2.73342731063133","23.8018858024483","1","2.56463199683056","22.1893400429039","1","2.35420252886169","20.1829936764294","1","1.84665118148846","16.4979498454643","1","1.72609122469781","15.3451441399875","1","1.58974240616863","14.0438456816787","1","2.28588960605487","19.9587732798154","1","2.15052608721469","18.6385480322905","1","1.98661712395537","17.0440941705282","1","2.13297246231857","18.3368626997732","1","2.01183088704276","17.1618910298664","1","1.87579099326732","15.8451982377324","1","2.18304038975319","19.0162846190081","1","2.06046501062505","17.8199289361121","1","1.91881246709716","16.4386303066898","1","2.4183764805726","20.8656814966728","1","2.34282266167143","20.1373709933933","1","2.11079603814492","17.8807749085762","1","2.8627946694726","25.0819136686997","1","2.72138869849035","23.7147267156973","1","2.54171494234401","21.9824503125168","1","2.06342079510369","17.8053857554146","1","1.9394311820201","16.6041669131044","1","1.80036568725406","15.2596929247098","1"
