"Spawn.Date","X..Retained..Temp...","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7"
NA,"Low Full","Med Full","High Full","Low","Median","High","Low Peak","Med Peak","High Peak"
1985-06-12,"0.00114803077787983","0.00143265228285185","0.00179331087547677","0.00128223448994835","0.00179331087547677","0.00201126400830244","0.00128223448994835","0.00160185785029648","0.00201126400830244"
