"U_mps","temp_C","Exc_value","Pool_stage_ft","Lake_Sak_Upper_RM","spawn_rkm","p_retained","p_conserv","phi0_MR","phi0","lambda"
0.5,16,75,1833,1527.4,2833.449,0.995,0.99,3e-05,2.985e-05,0.983109636570151
0.7,16,75,1833,1527.4,2833.449,0.035,0.01,3e-05,1.05e-06,0.897648977669966
0.9,16,75,1833,1527.4,2833.449,0,0,3e-05,0,0
0.5,18,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,18,75,1833,1527.4,2833.449,0.177,0.1,3e-05,5.31e-06,0.932658612838359
0.9,18,75,1833,1527.4,2833.449,0.004,0.001,3e-05,1.2e-07,0.858446774076073
0.5,20,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,75,1833,1527.4,2833.449,0.375,0.25,3e-05,1.125e-05,0.952145507805007
0.9,20,75,1833,1527.4,2833.449,0.007,0.001,3e-05,2.1e-07,0.868030664504867
0.5,22,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,75,1833,1527.4,2833.449,0.746,0.5,3e-05,2.238e-05,0.973112573753434
0.9,22,75,1833,1527.4,2833.449,0.018,0.01,3e-05,5.4e-07,0.884973788234061
0.5,24,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,75,1833,1527.4,2833.449,0.961,0.95,3e-05,2.883e-05,0.981857770264179
0.9,24,75,1833,1527.4,2833.449,0.047,0.01,3e-05,1.41e-06,0.903520008056669
0.5,14,50,1843,1535.89,2833.449,0.956,0.95,3e-05,2.868e-05,0.981671059998438
0.7,14,50,1843,1535.89,2833.449,0.009,0.001,3e-05,2.7e-07,0.872436549166302
0.9,14,50,1843,1535.89,2833.449,0,0,3e-05,0,0
0.5,16,50,1843,1535.89,2833.449,0.974,0.95,3e-05,2.922e-05,0.982340041683716
0.7,16,50,1843,1535.89,2833.449,0.017,0.01,3e-05,5.1e-07,0.883916234533983
0.9,16,50,1843,1535.89,2833.449,0,0,3e-05,0,0
0.5,18,50,1843,1535.89,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,18,50,1843,1535.89,2833.449,0.107,0.1,3e-05,3.21e-06,0.920971347761557
0.9,18,50,1843,1535.89,2833.449,0.003,0.001,3e-05,9e-08,0.853629416257191
0.5,20,50,1843,1535.89,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,50,1843,1535.89,2833.449,0.215,0.1,3e-05,6.45e-06,0.937440152737625
0.9,20,50,1843,1535.89,2833.449,0.005,0.001,3e-05,1.5e-07,0.862232933712421
0.5,22,50,1843,1535.89,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,50,1843,1535.89,2833.449,0.544,0.5,3e-05,1.632e-05,0.963033450730887
0.9,22,50,1843,1535.89,2833.449,0.009,0.001,3e-05,2.7e-07,0.872436549166302
0.5,24,50,1843,1535.89,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,50,1843,1535.89,2833.449,0.874,0.75,3e-05,2.622e-05,0.978505751880137
0.9,24,50,1843,1535.89,2833.449,0.029,0.01,3e-05,8.7e-07,0.893990003341527
0.5,14,25,1848,1544.17,2833.449,0.832,0.75,3e-05,2.496e-05,0.97680231238868
0.7,14,25,1848,1544.17,2833.449,0.007,0.001,3e-05,2.1e-07,0.868030664504867
0.9,14,25,1848,1544.17,2833.449,0,0,3e-05,0,0
0.5,16,25,1848,1544.17,2833.449,0.955,0.95,3e-05,2.865e-05,0.981633635559567
0.7,16,25,1848,1544.17,2833.449,0.009,0.001,3e-05,2.7e-07,0.872436549166302
0.9,16,25,1848,1544.17,2833.449,0,0,3e-05,0,0
0.5,18,25,1848,1544.17,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,18,25,1848,1544.17,2833.449,0.04,0.01,3e-05,1.2e-06,0.900286910050728
0.9,18,25,1848,1544.17,2833.449,0,0,3e-05,0,0
0.5,20,25,1848,1544.17,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,25,1848,1544.17,2833.449,0.142,0.1,3e-05,4.26e-06,0.927429589484268
0.9,20,25,1848,1544.17,2833.449,0.004,0.001,3e-05,1.2e-07,0.858446774076073
0.5,22,25,1848,1544.17,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,25,1848,1544.17,2833.449,0.319,0.25,3e-05,9.57e-06,0.947694840725928
0.9,22,25,1848,1544.17,2833.449,0.007,0.001,3e-05,2.1e-07,0.868030664504867
0.5,24,25,1848,1544.17,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,25,1848,1544.17,2833.449,0.73,0.5,3e-05,2.19e-05,0.972392738716255
0.9,24,25,1848,1544.17,2833.449,0.011,0.01,3e-05,3.3e-07,0.876004978745044
0.5,14,10,1850,1555.04,2833.449,0.587,0.5,3e-05,1.761e-05,0.965385331707292
0.7,14,10,1850,1555.04,2833.449,0.004,0.001,3e-05,1.2e-07,0.858446774076073
0.9,14,10,1850,1555.04,2833.449,0,0,3e-05,0,0
0.5,16,10,1850,1555.04,2833.449,0.774,0.75,3e-05,2.322e-05,0.974345942360834
0.7,16,10,1850,1555.04,2833.449,0.006,0.001,3e-05,1.8e-07,0.865360733057403
0.9,16,10,1850,1555.04,2833.449,0,0,3e-05,0,0
0.5,18,10,1850,1555.04,2833.449,0.972,0.95,3e-05,2.916e-05,0.982266141657596
0.7,18,10,1850,1555.04,2833.449,0.014,0.01,3e-05,4.2e-07,0.880357439805446
0.9,18,10,1850,1555.04,2833.449,0,0,3e-05,0,0
0.5,20,10,1850,1555.04,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,10,1850,1555.04,2833.449,0.044,0.01,3e-05,1.32e-06,0.902191228837233
0.9,20,10,1850,1555.04,2833.449,0.001,0.001,3e-05,3e-08,0.835810642357486
0.5,22,10,1850,1555.04,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,10,1850,1555.04,2833.449,0.171,0.1,3e-05,5.13e-06,0.931827520107226
0.9,22,10,1850,1555.04,2833.449,0.005,0.001,3e-05,1.5e-07,0.862232933712421
0.5,24,10,1850,1555.04,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,10,1850,1555.04,2833.449,0.433,0.25,3e-05,1.299e-05,0.95624057248051
0.9,24,10,1850,1555.04,2833.449,0.007,0.001,3e-05,2.1e-07,0.868030664504867
0.5,14,5,1853,1562.68,2833.449,0.349,0.25,3e-05,1.047e-05,0.95014880460861
0.7,14,5,1853,1562.68,2833.449,0.003,0.001,3e-05,9e-08,0.853629416257191
0.9,14,5,1853,1562.68,2833.449,0,0,3e-05,0,0
0.5,16,5,1853,1562.68,2833.449,0.575,0.5,3e-05,1.725e-05,0.964742227841448
0.7,16,5,1853,1562.68,2833.449,0.005,0.001,3e-05,1.5e-07,0.862232933712421
0.9,16,5,1853,1562.68,2833.449,0,0,3e-05,0,0
0.5,18,5,1853,1562.68,2833.449,0.953,0.95,3e-05,2.859e-05,0.981558703881887
0.7,18,5,1853,1562.68,2833.449,0.009,0.001,3e-05,2.7e-07,0.872436549166302
0.9,18,5,1853,1562.68,2833.449,0,0,3e-05,0,0
0.5,20,5,1853,1562.68,2833.449,0.98,0.95,3e-05,2.94e-05,0.982561104383077
0.7,20,5,1853,1562.68,2833.449,0.026,0.01,3e-05,7.8e-07,0.891893590211635
0.9,20,5,1853,1562.68,2833.449,0,0,3e-05,0,0
0.5,22,5,1853,1562.68,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,5,1853,1562.68,2833.449,0.1,0.05,3e-05,3e-06,0.919466234704519
0.9,22,5,1853,1562.68,2833.449,0.003,0.001,3e-05,9e-08,0.853629416257191
0.5,24,5,1853,1562.68,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,5,1853,1562.68,2833.449,0.23,0.1,3e-05,6.9e-06,0.939137798029691
0.9,24,5,1853,1562.68,2833.449,0.006,0.001,3e-05,1.8e-07,0.865360733057403
0.5,14,0,1856,1564.87,2833.449,0.274,0.25,3e-05,8.22e-06,0.943647301438012
0.7,14,0,1856,1564.87,2833.449,0.002,0.001,3e-05,6e-08,0.846952342331404
0.9,14,0,1856,1564.87,2833.449,0,0,3e-05,0,0
0.5,16,0,1856,1564.87,2833.449,0.515,0.5,3e-05,1.545e-05,0.961367820849874
0.7,16,0,1856,1564.87,2833.449,0.004,0.001,3e-05,1.2e-07,0.858446774076073
0.9,16,0,1856,1564.87,2833.449,0,0,3e-05,0,0
0.5,18,0,1856,1564.87,2833.449,0.912,0.9,3e-05,2.736e-05,0.979997580190223
0.7,18,0,1856,1564.87,2833.449,0.008,0.001,3e-05,2.4e-07,0.870363213221618
0.9,18,0,1856,1564.87,2833.449,0,0,3e-05,0,0
0.5,20,0,1856,1564.87,2833.449,0.974,0.95,3e-05,2.922e-05,0.982340041683716
0.7,20,0,1856,1564.87,2833.449,0.02,0.01,3e-05,6e-07,0.886935478655574
0.9,20,0,1856,1564.87,2833.449,0,0,3e-05,0,0
0.5,22,0,1856,1564.87,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,0,1856,1564.87,2833.449,0.071,0.05,3e-05,2.13e-06,0.912052199693075
0.9,22,0,1856,1564.87,2833.449,0.002,0.001,3e-05,6e-08,0.846952342331404
0.5,24,0,1856,1564.87,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,0,1856,1564.87,2833.449,0.208,0.1,3e-05,6.24e-06,0.936614633865699
0.9,24,0,1856,1564.87,2833.449,0.005,0.001,3e-05,1.5e-07,0.862232933712421
0.5,14,100,1813,1507.01,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,14,100,1813,1507.01,2833.449,0.105,0.1,3.5e-05,3.675e-06,0.924024662254715
0.9,14,100,1813,1507.01,2833.449,0.003,0.001,3.5e-05,1.05e-07,0.856202080373136
0.5,16,100,1813,1507.01,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,16,100,1813,1507.01,2833.449,0.176,0.1,3.5e-05,6.16e-06,0.936294161861049
0.9,16,100,1813,1507.01,2833.449,0.004,0.001,3.5e-05,1.4e-07,0.861057493072732
0.5,18,100,1813,1507.01,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,18,100,1813,1507.01,2833.449,0.552,0.5,3.5e-05,1.932e-05,0.968314006528349
0.9,18,100,1813,1507.01,2833.449,0.008,0.001,3.5e-05,2.8e-07,0.873079831761138
0.5,20,100,1813,1507.01,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,20,100,1813,1507.01,2833.449,0.819,0.75,3.5e-05,2.8665e-05,0.981652351223585
0.9,20,100,1813,1507.01,2833.449,0.024,0.01,3.5e-05,8.4e-07,0.893314120665131
0.5,22,100,1813,1507.01,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,22,100,1813,1507.01,2833.449,0.967,0.95,3.5e-05,3.3845e-05,0.98774298347413
0.9,22,100,1813,1507.01,2833.449,0.09,0.05,3.5e-05,3.15e-06,0.920550172906584
0.5,24,100,1813,1507.01,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,24,100,1813,1507.01,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.9,24,100,1813,1507.01,2833.449,0.222,0.1,3.5e-05,7.77e-06,0.942180116728012
0.5,14,95,1818,1513.37,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,14,95,1818,1513.37,2833.449,0.045,0.01,3.5e-05,1.575e-06,0.905770367897887
0.9,14,95,1818,1513.37,2833.449,0.001,0.001,3.5e-05,3.5e-08,0.838260782710318
0.5,16,95,1818,1513.37,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,16,95,1818,1513.37,2833.449,0.127,0.1,3.5e-05,4.445e-06,0.928424014196289
0.9,16,95,1818,1513.37,2833.449,0.003,0.001,3.5e-05,1.05e-07,0.856202080373136
0.5,18,95,1818,1513.37,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,18,95,1818,1513.37,2833.449,0.393,0.25,3.5e-05,1.3755e-05,0.957908593480107
0.9,18,95,1818,1513.37,2833.449,0.007,0.001,3.5e-05,2.45e-07,0.870725081988299
0.5,20,95,1818,1513.37,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,20,95,1818,1513.37,2833.449,0.715,0.5,3.5e-05,2.5025e-05,0.976891668031629
0.9,20,95,1818,1513.37,2833.449,0.012,0.01,3.5e-05,4.2e-07,0.880357439805442
0.5,22,95,1818,1513.37,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,22,95,1818,1513.37,2833.449,0.954,0.95,3.5e-05,3.339e-05,0.987235161799826
0.9,22,95,1818,1513.37,2833.449,0.045,0.01,3.5e-05,1.575e-06,0.905770367897887
0.5,24,95,1818,1513.37,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,24,95,1818,1513.37,2833.449,0.992,0.99,3.5e-05,3.472e-05,0.988706421998771
0.9,24,95,1818,1513.37,2833.449,0.172,0.1,3.5e-05,6.02e-06,0.935725029752723
0.5,14,90,1822,1516.58,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,14,90,1822,1516.58,2833.449,0.038,0.01,3.5e-05,1.33e-06,0.902342814023273
0.9,14,90,1822,1516.58,2833.449,0,0,3.5e-05,0,0
0.5,16,90,1822,1516.58,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,16,90,1822,1516.58,2833.449,0.103,0.1,3.5e-05,3.605e-06,0.92358693101805
0.9,16,90,1822,1516.58,2833.449,0.003,0.001,3.5e-05,1.05e-07,0.856202080373136
0.5,18,90,1822,1516.58,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,18,90,1822,1516.58,2833.449,0.306,0.25,3.5e-05,1.071e-05,0.950775173400546
0.9,18,90,1822,1516.58,2833.449,0.006,0.001,3.5e-05,2.1e-07,0.868030664504864
0.5,20,90,1822,1516.58,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,20,90,1822,1516.58,2833.449,0.642,0.5,3.5e-05,2.247e-05,0.973246299291102
0.9,20,90,1822,1516.58,2833.449,0.01,0.001,3.5e-05,3.5e-07,0.877060288306395
0.5,22,90,1822,1516.58,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,22,90,1822,1516.58,2833.449,0.919,0.9,3.5e-05,3.2165e-05,0.985843633260717
0.9,22,90,1822,1516.58,2833.449,0.039,0.01,3.5e-05,1.365e-06,0.902865433728814
0.5,24,90,1822,1516.58,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,24,90,1822,1516.58,2833.449,0.984,0.95,3.5e-05,3.444e-05,0.988399968885761
0.9,24,90,1822,1516.58,2833.449,0.147,0.1,3.5e-05,5.145e-06,0.931897695441454
0.5,14,75,1833,1527.4,2833.449,0.975,0.95,3.5e-05,3.4125e-05,0.988053141093033
0.7,14,75,1833,1527.4,2833.449,0.016,0.01,3.5e-05,5.6e-07,0.885649088630069
0.9,14,75,1833,1527.4,2833.449,0,0,3.5e-05,0,0
0.5,16,75,1833,1527.4,2833.449,0.995,0.99,3.5e-05,3.4825e-05,0.988820901191922
0.7,16,75,1833,1527.4,2833.449,0.035,0.01,3.5e-05,1.225e-06,0.900697339055628
0.9,16,75,1833,1527.4,2833.449,0,0,3.5e-05,0,0
0.5,18,75,1833,1527.4,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,18,75,1833,1527.4,2833.449,0.177,0.1,3.5e-05,6.195e-06,0.936434785482394
0.9,18,75,1833,1527.4,2833.449,0.004,0.001,3.5e-05,1.4e-07,0.861057493072732
0.5,20,75,1833,1527.4,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,20,75,1833,1527.4,2833.449,0.375,0.25,3.5e-05,1.3125e-05,0.956540276099401
0.9,20,75,1833,1527.4,2833.449,0.007,0.001,3.5e-05,2.45e-07,0.870725081988299
0.5,22,75,1833,1527.4,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,22,75,1833,1527.4,2833.449,0.746,0.5,3.5e-05,2.611e-05,0.978359387869457
0.9,22,75,1833,1527.4,2833.449,0.018,0.01,3.5e-05,6.3e-07,0.887849442235716
0.5,24,75,1833,1527.4,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,24,75,1833,1527.4,2833.449,0.961,0.95,3.5e-05,3.3635e-05,0.987509196308634
0.9,24,75,1833,1527.4,2833.449,0.047,0.01,3.5e-05,1.645e-06,0.906662041451489
0.5,14,50,1843,1535.89,2833.449,0.956,0.95,3.5e-05,3.346e-05,0.987313599302931
0.7,14,50,1843,1535.89,2833.449,0.009,0.001,3.5e-05,3.15e-07,0.875173570174028
0.9,14,50,1843,1535.89,2833.449,0,0,3.5e-05,0,0
0.5,16,50,1843,1535.89,2833.449,0.974,0.95,3.5e-05,3.409e-05,0.98801446803137
0.7,16,50,1843,1535.89,2833.449,0.017,0.01,3.5e-05,5.95e-07,0.88677907730219
0.9,16,50,1843,1535.89,2833.449,0,0,3.5e-05,0,0
0.5,18,50,1843,1535.89,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,18,50,1843,1535.89,2833.449,0.107,0.1,3.5e-05,3.745e-06,0.924455351187365
0.9,18,50,1843,1535.89,2833.449,0.003,0.001,3.5e-05,1.05e-07,0.856202080373136
0.5,20,50,1843,1535.89,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,20,50,1843,1535.89,2833.449,0.215,0.1,3.5e-05,7.525e-06,0.941352402674006
0.9,20,50,1843,1535.89,2833.449,0.005,0.001,3.5e-05,1.75e-07,0.864875361502861
0.5,22,50,1843,1535.89,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,22,50,1843,1535.89,2833.449,0.544,0.5,3.5e-05,1.904e-05,0.96784788071362
0.9,22,50,1843,1535.89,2833.449,0.009,0.001,3.5e-05,3.15e-07,0.875173570174028
0.5,24,50,1843,1535.89,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,24,50,1843,1535.89,2833.449,0.874,0.75,3.5e-05,3.059e-05,0.983999202720627
0.9,24,50,1843,1535.89,2833.449,0.029,0.01,3.5e-05,1.015e-06,0.896984621285093
0.5,14,25,1848,1544.17,2833.449,0.832,0.75,3.5e-05,2.912e-05,0.982216815617521
0.7,14,25,1848,1544.17,2833.449,0.007,0.001,3.5e-05,2.45e-07,0.870725081988299
0.9,14,25,1848,1544.17,2833.449,0,0,3.5e-05,0,0
0.5,16,25,1848,1544.17,2833.449,0.955,0.95,3.5e-05,3.3425e-05,0.987274394797148
0.7,16,25,1848,1544.17,2833.449,0.009,0.001,3.5e-05,3.15e-07,0.875173570174028
0.9,16,25,1848,1544.17,2833.449,0,0,3.5e-05,0,0
0.5,18,25,1848,1544.17,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,18,25,1848,1544.17,2833.449,0.04,0.01,3.5e-05,1.4e-06,0.903376180578526
0.9,18,25,1848,1544.17,2833.449,0,0,3.5e-05,0,0
0.5,20,25,1848,1544.17,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,20,25,1848,1544.17,2833.449,0.142,0.1,3.5e-05,4.97e-06,0.931068156157137
0.9,20,25,1848,1544.17,2833.449,0.004,0.001,3.5e-05,1.4e-07,0.861057493072732
0.5,22,25,1848,1544.17,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,22,25,1848,1544.17,2833.449,0.319,0.25,3.5e-05,1.1165e-05,0.951933246794139
0.9,22,25,1848,1544.17,2833.449,0.007,0.001,3.5e-05,2.45e-07,0.870725081988299
0.5,24,25,1848,1544.17,2833.449,1,0.999,3.5e-05,3.5e-05,0.989011170706065
0.7,24,25,1848,1544.17,2833.449,0.73,0.5,3.5e-05,2.555e-05,0.977607391902987
0.9,24,25,1848,1544.17,2833.449,0.011,0.01,3.5e-05,3.85e-07,0.878778679951122
0.5,14,10,1850,1555.04,2833.449,0.587,0.5,3.5e-05,2.0545e-05,0.970297070185667
